n,iterations_number,t_grover,std_grover,cpu_avg,ram_avg,ram_mb,ram_peak,cores
3,441,2.545148752834467e-05,3.0522394119211904e-06,13.0794793976892,0.3009833363676011,98.21875,0.30555935992459693,32
4,121,5.200654545454545e-05,4.987116683682734e-06,13.224239967571839,0.3058483514098497,98.32421875,0.30588747409569,32
5,49,6.737155102040816e-05,5.484887985263177e-06,12.997342781222324,0.3059663947030428,98.36328124999999,0.3060089978627615,32
6,81,0.0001417384938271605,2.315845722901434e-05,12.924985771200854,0.306140871864317,98.43359375,0.30622774064349023,32
7,25,0.00022360484,2.2448916404212774e-05,12.922666666666684,0.3063012652151213,98.47265625000001,0.30634926441056176,32
8,64,0.000511599140625,5.091592831196147e-05,12.885892981236921,0.3066347061138309,98.58203125000001,0.306689530958362,32
9,16,0.0009504770625,4.781010375847174e-05,12.70428015564205,0.3067376685282325,98.6015625,0.3067502928418977,32
10,49,0.002573968612244898,0.00025356471024694536,12.500841042893187,0.3070889893678731,98.7265625,0.30713916889652654,32
11,10,0.0051580754,9.6896700104573e-05,12.309803921568626,0.30723990256815226,98.76562500000001,0.30726069266359807,32
12,16,0.01315964175,0.0011618586648486123,12.281447124304297,0.30791006697513906,99.0078125,0.3080141400194414,32
13,144,0.015140837138888887,0.003694500334678831,12.98714821763593,0.3115344276122027,101.203125,0.3148437757288601,32
14,400,0.037682945229999994,0.05577746256988482,13.21053829520935,0.3186636116474555,103.20703124999999,0.3210779449796283,32
15,17956,0.04745984624220316,0.07822952659453869,13.184072764569825,0.34545833393906716,127.51171875,0.39696953751578445,32
16,3600,0.055978586671388886,0.04625136663612534,13.295026580179558,0.3338099406434444,109.69921875,0.3412751950669128,32
17,400,0.085948761715,0.0564091691730749,13.776077723508822,0.33169531776433875,106.62109375,0.3316991222216781,32
18,121,0.1598154868016529,0.0451890018114583,14.121692951399915,0.34367678903871157,110.50390625,0.34377858466858585,32
19,484,0.2853164872458678,0.040257952931500925,14.389248759149163,0.3460303350650125,111.42578125000001,0.34664654557147345,32
20,10,0.6115476782,0.010650429988322182,14.347580645161278,0.37164432885742243,119.5234375,0.3718384224853968,32
21,10,1.2404460555999999,0.011137634888223535,14.735222672064777,0.4217977779267021,135.59765625,0.42184545263532186,32
22,10,4.524867521899999,0.030037319705836937,14.188030888030882,0.5220136440336399,167.84765625,0.5221754747295579,32
23,10,10.901736491700001,0.1098920651646331,14.211538461538455,0.721492078311365,231.953125,0.7216081288706079,32
24,10,23.335726313200002,0.1241797461942278,13.541454545454549,1.1203760426534626,360.21484375,1.1206314180499009,32
25,10,48.3926308282,1.762896047772751,13.449637681159412,1.9301568091249486,622.203125,1.9356791714217905,32
26,16,112.06049960775,8.2188273599171,12.860026917900452,3.529027962616376,1134.6289062499998,3.5298401002425246,32
27,16,230.875194197125,9.852953687981286,3.3627883310719193,6.715390607141831,2158.6953125,6.715719330165856,32
28,16,515.25108824125,23.435404760509062,12.762531328320854,13.091504709511678,4208.515625000001,13.092727616750011,32
29,25,1272.3118743666398,26.23763237566181,1.3201997146932634,25.833922935373096,8304.5078125,25.835393870073837,32
