n,iterations_number,t_grover,std_grover,cpu_avg,ram_avg,ram_mb,ram_peak,cores
3,61009,0.002754000053188874,0.03633654202215693,16.680920598819228,0.43823352501943885,331.3359375,0.5144807260788328,16
4,1296,0.008563634767746913,0.10581616512361558,12.867355627274637,0.43532171524861246,281.4921875,0.4730903264801208,16
5,1849,0.009042935061114116,0.08154524225742667,13.296644411473478,0.44173465722416555,284.3671875,0.44340617999182985,16
6,289,0.012718024148788927,0.002349172995795952,13.607549857549756,0.4394769203102804,283.578125,0.4403249486031801,16
7,25,0.0134453146,0.0006280715650753238,14.113320825515956,0.43897782535168167,284.4921875,0.44174425597511724,16
8,196,0.022170486862244897,0.0033212829796878856,12.99875402792674,0.4531415594105377,293.49609375,0.45572504013030934,16
9,10,0.023725237899999998,0.00034004471061986017,11.89888059701491,0.4530402954164117,293.51171875,0.455749301794787,16
10,144,0.03498732273611111,0.0041247551279324605,12.995680880329987,0.46704989595663937,305.00390625,0.47359375601803005,16
11,25,0.04607127884,0.006065873589445009,13.049384615384616,0.47052465546162164,303.02734375,0.47052465546161915,16
12,121,0.0623622287107438,0.009927623256492418,12.42975036710713,0.48684089046140844,315.05859375,0.48920613710933797,16
13,25,0.0753772086,0.010365728598091482,11.449029754204387,0.48613703655292195,313.08203125,0.48613703655292695,16
14,225,0.12248886527111112,0.36807194962676165,10.706802227063553,0.4891683845687442,315.08203125,0.4892425296060542,16
15,81,0.12433913002469135,0.014761771304325958,8.69917227108122,0.48778936711871035,315.09375,0.4892607258544124,16
16,16,0.1816757834375,0.007945962489361054,11.270720720720721,0.487611405535954,315.1015625,0.4892728566866512,16
17,36,0.2658077026944444,0.013571538266867189,11.278700361010861,0.4872236551234517,315.08984375,0.489254660438293,16
18,25,0.47739451716000003,0.02140650806580846,14.216858917480078,0.4921776118169121,317.078125,0.4923419572430621,16
19,16,0.7871344469375,0.029471488999514545,16.464194373401565,0.4944842514947364,318.76953125,0.49546564654454767,16
20,1369,1.4257611347436085,0.15268936424698507,21.970119680507466,0.5175775800419422,336.0625,0.5233422990292604,16
21,144,2.184999570875,0.23782864130519246,31.451561822126333,0.5709045880239246,368.28125,0.5718534971521355,16
22,49,8.138120822122449,0.9288962194402693,45.29392810880866,0.6194365468481408,400.28515625,0.621541386002172,16
23,81,16.824037277728394,2.110249989058846,55.98716778368308,0.7229731045622045,467.0546875,0.7251872166502951,16
24,121,34.90038862414876,4.418700558897996,64.53962676775085,0.9282103174837861,599.04296875,0.9301618889889346,16
25,64,63.212012087375,5.327806878829261,72.01348273159017,1.3282850011273148,856.03125,1.329539213370118,16
26,10,128.6778935113,3.7681631602307974,77.85842527959188,2.123590869949672,1372.203125,2.1306836360835244,16
27,10,261.0800338907,5.477788091136578,80.51780889123712,3.7146222164149867,2396.765625,3.7238743573312534,16
28,10,570.4064559483,14.52981780429318,82.42289379526854,6.903297962005084,4454.1171875,6.915920898482221,16
29,10,1185.1925790071,36.61683381782265,82.132595700853,13.268544168135946,8553.39453125,13.281065620827185,16
30,16,2649.251914345,96.03391525425003,81.59304610589646,26.014129800311448,16769.86328125,26.039292372163015,16

