n,iterations_number,t_grover,std_grover,cpu_avg,ram_avg,ram_mb,ram_peak,cores,n_shots
3,144,0.004568333743055556,0.003012088351265926,5.270673076923074,0.4178753839160448,151.65624999999997,0.4717727995469892,16,1024
4,3249,0.005244331801477377,0.002995226278715176,8.710944206008554,0.4825926681568845,156.11718749999997,0.48564989971911626,16,1024
5,3136,0.004597852988520408,0.0031211309420154524,8.324579439252295,0.4861002085727036,156.30078125,0.4862210238067608,16,1024
6,2916,0.004676337012345679,0.003014006013934178,8.069066455696193,0.5015286028452531,161.74218749999997,0.5031481696384359,16,1024
7,225,0.00385150796,0.0021533452000885535,7.583072916666674,0.5031481696384313,161.74218749999997,0.5031481696384359,16,1024
8,196,0.004634895489795918,0.0019193078200959992,7.614626865671642,0.5032802504221375,161.78515625,0.5032818369780974,16,1024
9,81,0.007069568098765432,0.0031733903689494876,8.021428571428572,0.5033640540264787,161.8125,0.5033668980124274,16,1024
10,100,0.00733540905,0.0027991790932546793,8.102808988764044,0.5035204993986575,161.86328125000003,0.5035248685047546,16,1024
11,49,0.00658876969387755,0.0005052375723622586,7.3,0.5037335404017815,161.93359374999997,0.503743596878746,16,1024
12,49,0.009480734244897959,0.0005901502558936273,7.101123595505619,0.5039758270042177,162.01171875,0.5039866284054033,16,1024
13,25,0.01383666592,0.0013426882936020533,7.328571428571428,0.5042213968601541,162.09374999999997,0.5042418115083933,16,1024
14,10,0.024477104,0.0004372596958020358,6.855000000000001,0.5046746390844402,162.265625,0.5047764808670393,16,1024
15,11881,0.01253781414215975,0.009562326091482701,9.053855563808526,0.5168919680194625,169.953125,0.5286907830901094,16,1024
16,5476,0.02093250898265157,0.014883707400321725,11.44096342230623,0.4577369835276,147.39453125,0.45851542976783805,16,1024
17,3844,0.04836383601040582,0.0304333792855582,18.330887832455485,0.4616145799395358,148.41015625,0.4616748396143819,16,1024
18,1089,0.06150307573553719,0.026049408346524968,21.246143313555443,0.4676333381704477,150.4765625,0.46810302349446525,16,1024
19,484,0.0992805130785124,0.03274742914111312,27.057889344262257,0.4884174119006928,159.35546875,0.49572355649905797,16,1024
20,10,0.164917881,0.003998634328294599,34.15909090909091,0.5155255627648159,167.05859375,0.5196864650274595,16,1024
21,25,0.32313633708,0.014463306959693776,39.694642857142846,0.5200380227013653,167.4375,0.520865167931747,16,1024
22,10,0.7475981832,0.011715233187192543,40.65925925925926,0.5207801068974168,167.5,0.5210595931530728,16,1024
23,10,1.5669615292999999,0.024318192046098936,39.31666666666667,0.5212122979623222,167.58203125,0.5213147762560629,16,1024
24,10,3.5649452675999997,0.07925012602703166,42.1,0.5217651685530452,167.796875,0.5219831129543703,16,1024
25,10,7.3356675836,0.1530133312699214,45.26923076923077,0.5224777271169556,168.109375,0.522955239060999,16,1024
26,10,16.7098081651,0.3663281346689306,41.52758620689657,0.5230443506207735,168.15234375,0.5230889064006605,16,1024
27,10,34.724996184300004,0.676599985054724,37.330000000000005,0.523295483198319,168.25,0.5233926958089821,16,1024
28,10,78.3576579313,1.1505392837841129,35.93529411764706,0.5215942625117185,168.2734375,0.5234656052669793,16,1024
29,10,164.52743256929998,2.1650502966344973,37.746874999999996,0.5224999346852772,168.20703125,0.5232590284693206,16,1024
30,10,367.3642532871,8.00586154966052,35.78235294117648,0.5236623294351789,169.64453125,0.5277308085598134,16,1024
