n,iterations_number,t_grover,std_grover,cpu_avg,ram_avg,ram_mb,ram_peak,cores
3,1024,0.0061205767,0.00010455554122735172,0.0,0.30001962277640915,241.703125,0.30001962277640915,16
4,1024,0.0123714565,0.00010074042424992837,12.25,0.3009789045439356,242.2265625,0.3011901893889351,16
5,1024,0.0142225905,0.00014843617819509724,24.9,0.3014087599182449,242.48046875,0.30150590237571595,16
6,1024,0.0252188202,0.005276883542334282,24.8,0.30192847206571494,242.90625,0.3020353287689331,16
7,1024,0.028382716199999998,0.0003723875656850594,24.799999999999997,0.3024457556517482,243.2890625,0.30251132681054116,16
8,1024,0.058093293399999996,0.04988523315027624,24.866666666666664,0.3034212278288531,244.16015625,0.30359446521134315,16
9,1024,0.047129131399999996,0.0004344275023906495,24.95,0.30359932233421666,244.1640625,0.30359932233421666,16
10,1024,0.0653232615,0.00020868644570170604,24.88888888888889,0.303780654921496,244.328125,0.30380332149490585,16
11,1024,0.0709250602,0.0016556349421021934,24.922222222222224,0.30385944824811134,244.37890625,0.303866464092262,16
12,1024,0.11836117959999999,0.042643187454049866,24.907142857142855,0.3047631636996869,245.29296875,0.30499817372179955,16
13,1024,0.1437968751,0.053883328220697135,24.962500000000002,0.30586792252435685,246.08984375,0.3059938839108776,16
14,1024,0.2245967725,0.057760081177511434,24.984,0.3060525741455997,246.14453125,0.30606188363110737,16
15,1024,0.31573047839999996,0.05855659008846811,24.991176470588236,0.3077593052188585,247.65625,0.3079415901831718,16
16,1024,0.5581009162,0.05791182584339434,25.062903225806455,0.30901994980179176,248.5703125,0.3090781569355829,16
17,1024,0.97921975,0.06517931809694452,25.037614678899082,0.31166909778292035,250.8359375,0.3118952882022428,16
18,1024,1.971130932,0.06546214011559331,25.05156950672646,0.3138408503392144,252.56640625,0.31404699363522615,16
19,1024,3.9006353548000003,0.06445454666035746,25.02257336343115,0.3279500528481283,263.98828125,0.3282492209174911,16
20,1024,8.8972244177,0.07134787641699461,25.01607142857143,0.34037120565902146,273.14453125,0.34907656379928037,16
21,1024,24.7112176845,0.28717260863313104,24.916612612612614,0.34552240878566975,270.1640625,0.36972905025762176,16
22,1024,56.978915066300004,3.0198292046435515,24.98924060751399,0.36706689428502626,295.71484375,0.3685341980307281,16
23,1024,108.8091930117,3.203481964146724,24.968728732222317,0.44892023036266426,361.2109375,0.45031843297559,16
24,1024,249.9632840652,11.861747765668555,22.176735943289835,0.628692306598408,498.63671875,0.7719036813105683,16
25,1024,502.2489001014,1.7493821175943627,19.99380202851402,0.938948635502781,755.00390625,0.9394452777108575,16
26,1024,1124.6883263527,0.7039190404076119,20.0135022752236,1.5782636300792807,1269.8515625,1.5792546453523162,16
27,1024,2342.4196715372,3.4607040131950533,20.007000785712393,2.9642333065654376,2299.2890625,4.132673282715637,16
28,1024,5267.1352270551,90.88681969686458,23.276436143201725,5.405283980701906,4347.77734375,5.407036611049372,16
29,1024,10852.0709722834,159.01839270921428,23.458743068106337,10.92973283507445,8450.22265625,15.59793611134857,16
30,1024,23787.58683293,4.61636528327522,20.88396816292425,21.54261815315736,16644.484375,30.88258779735306,16
