n,iterations_number,t_grover,std_grover,cpu_avg,ram_avg,ram_mb,ram_peak,cores
3,61504,0.0005267898008584807,0.01817761791880157,87.43584905660384,0.7728200021427294,252.67578125,0.7844207070151658,16
4,196,0.0007218150153061225,4.040755892657824e-05,46.6,0.7863406560757578,252.77734375,0.7863406560757578,16
5,169,0.001021921,6.068387858146903e-05,57.5,0.786413565533755,252.80078125,0.786413565533755,16
6,64,0.001415729609375,6.053893723814744e-05,38.4,0.786413565533755,252.80078125,0.786413565533755,16
7,16,0.001861252875,6.553022486952109e-05,46.4,0.7864257171100878,252.8046875,0.7864257171100878,16
8,25,0.0023758802799999997,9.612805564043204e-05,33.9,0.7864257171100878,252.8046875,0.7864257171100878,16
9,10,0.0029208997,4.990406711336818e-05,26.3,0.7864257171100878,252.8046875,0.7864257171100878,16
10,36,0.0036458873055555557,0.0001679529007227612,45.95,0.7864257171100878,252.8046875,0.7864257171100878,16
11,10,0.004671134,7.199354033368395e-05,20.9,0.7864257171100878,252.8046875,0.7864257171100878,16
12,10,0.0058365225,0.00019655527834358001,19.7,0.7868388707054051,252.9375,0.7868388707054051,16
13,10,0.007243487,0.00017217321969394014,25.4,0.7868388707054051,252.9375,0.7868388707054051,16
14,10,0.0091422082,0.00022585548102261224,46.5,0.7868388707054051,252.9375,0.7868388707054051,16
15,324,0.012490760842592593,0.001152108164181219,97.70487804878054,0.7868388707054057,252.9375,0.7868388707054051,16
16,36,0.015850217861111113,0.0005974767595933587,94.38333333333334,0.7870110180367874,253.00390625,0.7870454475030637,16
17,16,0.0212334424375,0.0007338609150454391,82.27499999999999,0.7875375863445444,253.21484375,0.7877016326250381,16
18,16,0.0334539010625,0.005489978287610477,73.43333333333332,0.795434085698182,256.31640625,0.7973499842333297,16
19,64,0.048181790671875,0.0038213402226978488,72.49354838709678,0.8201898519167746,264.1484375,0.8229776587193331,16
20,81,0.0740569545308642,0.00583609276764548,78.36833333333334,0.8722087576005576,281.71484375,0.876359533549591,16
21,49,0.12431108185714285,0.004853600621518704,83.25245901639342,0.9691557434370754,281.328125,0.9764642193796984,16
22,16,0.305985958375,0.010602553594053859,79.21428571428571,1.153398114544057,313.33984375,1.1746928840976574,16
23,10,0.6991624612999999,0.013367845803109998,78.33428571428573,1.5162370664914295,378.0078125,1.5741030465824604,16
24,10,1.4459956765,0.04681169877456173,81.22291666666666,2.2821635010797703,506.08203125,2.371015574067807,16
25,25,2.9974878692,0.27865090358944344,82.82026845637574,3.8997286877155415,763.5625,3.968036493614043,16
26,25,6.47683192752,0.5322714284295336,81.8031075201989,7.022450102103487,1275.58984375,7.153584380849845,16
27,49,13.219986900612245,0.9979007530082626,83.9147296457426,13.36472552186933,2306.55859375,13.546188445430612,16
28,16,27.325727743,1.2116322111354212,85.01019562715753,25.436744127275976,4354.5703125,26.2880762049655,16
29,25,57.48639757988,2.9542895358752514,84.99046052631546,50.66858006355367,8450.828125,51.772580818615246,16
