n,iterations_number,t_grover,std_grover,cpu_avg,ram_avg,ram_mb,ram_peak,cores
3,1849,0.001565288285559762,0.00027193686233642245,31.857777777777777,0.2929543877755685,100.640625,0.3130732126398267,16
4,3844,0.002101077612903226,0.0003026714119802387,89.08072289156624,0.3137351075386321,100.890625,0.3138509135251298,16
5,10,0.002680085,2.424414266947334e-05,46.85,0.3138630651014626,100.89453125,0.3138630651014626,16
6,169,0.0034463583076923075,0.00017483331203715428,37.02222222222222,0.31418508187428346,101.0,0.31419115766244987,16
7,121,0.004392974314049587,0.00028998303565042196,31.41111111111111,0.31625017476329575,102.15234375,0.31777587268064383,16
8,81,0.005592084975308642,0.0004842376226168041,24.637500000000003,0.31783055477414174,102.17578125,0.317848782138641,16
9,36,0.007374005083333333,0.0010766780158070438,15.333333333333334,0.3182801630984575,102.38671875,0.31850496726061545,16
10,36,0.008555162333333335,0.0015503587294842258,17.7,0.3186768252687516,102.46484375,0.31874799878727267,16
11,25,0.00981313612,0.0005059724448388404,12.916666666666666,0.31892419664409916,102.55078125,0.3190153334665956,16
12,16,0.0136492386875,0.002212729579601861,12.516666666666666,0.3198639185471737,102.85546875,0.3199631564205588,16
13,10,0.0159432038,0.00039739172372408563,9.275,0.3200684700821102,102.95703125,0.32027909740521315,16
14,10,0.027030039899999997,0.0005498193642001284,16.68,0.3204735226265389,103.11328124999999,0.32076516045852754,16
15,225,0.017870128053333333,0.012382529706193864,26.733333333333327,0.32301378072659886,105.78125,0.32906468709387154,16
16,10,0.019922733600000003,0.000402248563832862,17.575,0.3297725164152607,106.25,0.3305228762538148,16
17,10,0.0244569688,0.0005117408449558993,16.775,0.33083577934438596,106.6015625,0.3316165181237723,16
18,1024,0.03180594501757812,0.002618274020348816,42.73796992481204,0.3566188187880925,114.88281250000001,0.3573778599494373,16
19,841,0.04585192689179548,0.0030529793053404256,55.44810996563572,0.3684605537675318,120.4453125,0.3746817046474311,16
20,676,0.07338166000147928,0.0034790338167203522,69.13673469387753,0.39802583932093505,128.03906250000003,0.39830436903851263,16
21,289,0.13368718199653978,0.005694154079955309,79.98129251700692,0.40082057479855027,129.01953125,0.40135441469806066,16
22,25,0.2707681628,0.009018107984125149,78.04666666666665,0.4014985575345609,129.1640625,0.4018040230223765,16
23,10,0.5511237936000001,0.018872276185248206,79.4076923076923,0.40180402302237633,129.1640625,0.4018040230223765,16
24,10,1.1204013285999999,0.003250060977006199,81.74615384615383,0.4020096650833941,129.24218750000003,0.4020470545490338,16
25,10,2.3258542727,0.013701213392485192,82.39166666666667,0.4020470545490338,129.24218750000003,0.4020470545490338,16
26,10,4.9008430604,0.039647535031634186,84.06153846153848,0.40205920612536666,129.24609375,0.4020592061253666,16
27,10,10.2404683085,0.04387433270733664,83.125,0.4021240145324751,129.28515625000003,0.40218072188869525,16
28,10,21.6300186562,0.15015775000778625,83.11666666666666,0.4021807218886951,129.28515625000003,0.40218072188869525,16
29,10,45.175499219699994,0.13896533935612282,83.175,0.40220876398792493,129.29687499999997,0.40221717661769374,16
30,10,95.16392765,0.21311034780377164,82.94166666666666,0.4022657829230252,129.31640625,0.4022779344993581,16
