n,iterations_number,t_grover,std_grover,cpu_avg,ram_avg,ram_mb,ram_peak,cores
3,38809,0.002582663977376382,0.0007638163406366331,5.708817635270541,0.40111897872245283,130.30078125,0.40501233446654966,16
4,100,0.0029831131200000003,0.00023719471960086065,3.533333333333333,0.40538093255072266,130.31640625,0.40538903360751766,16
5,16,0.002654614375,0.00011632466198410664,3.0,0.40541333677790264,130.32421875,0.40541333677790264,16
6,64,0.008505158484375,0.0003942010219251808,5.516666666666667,0.4055571305360141,130.37890625,0.4055834589705979,16
7,16,0.0107452164375,0.0004024670265008002,4.75,0.4055956105557904,130.3828125,0.4055956105557904,16
8,10,0.013515487,0.0004310453539658624,4.25,0.4056077621409829,130.38671875,0.4056077621409829,16
9,25,0.01680443304,0.00063497717435232,5.459999999999999,0.4058994001856034,130.48046875,0.40589940018560333,16
10,10,0.0214757426,0.0003389993104015274,5.466666666666666,0.40589940018560333,130.48046875,0.40589940018560333,16
11,25,0.02817938552,0.001029634529842107,5.5,0.4058994001856033,130.48046875,0.40589940018560333,16
12,10,0.039191366299999995,0.000175696470675392,5.825,0.40589940018560333,130.48046875,0.40589940018560333,16
13,10,0.0525712509,0.0017216966748218295,6.0,0.41148912937416054,132.67578125,0.41272859106379717,16
14,36,0.07045018994444445,0.003321577595747504,12.1,0.4189706173454886,134.76953125,0.41924184072698556,16
15,10,0.0935389974,0.0013848973744142118,23.619999999999997,0.4304528932256006,138.7734375,0.43169721554931423,16
16,10,0.1374586011,0.0014534816175209135,48.07142857142857,0.45875011606933785,148.50390625,0.46196681426387093,16
17,49,0.2523983086734694,0.00990974609670736,99.45241935483871,0.51900184731142,160.12109375,0.5222022220631715,16
18,25,0.58388433488,0.03962145479740718,99.84620689655173,0.5368220037183766,166.48046875,0.5459342679441547,16
19,49,0.9785762387755101,0.08617229660465664,99.95681341719077,0.5700149219584956,160.21875,0.5966306813673304,16
20,49,2.6882220820204084,0.1309036057835779,99.9805981595092,0.6454733495183789,184.578125,0.6979749018729117,16
21,10,7.0570163798,0.017155840890428757,99.82890173410405,0.7275484711333127,160.265625,0.8728119096228282,16
22,10,15.7448743873,0.0321886422727689,99.46184931506849,1.0514659799718205,164.19921875,1.1205462769426466,16
23,10,34.1191566027,0.08186641435585697,97.71007218975592,1.7095093707120688,168.26953125,2.0540796577724763,16
24,10,73.8689799078,0.2468001261245365,69.59593521752937,2.33904412011799,176.53515625,3.7346560414825953,16
25,10,161.4563221089,0.4145980205499047,57.0038389129901,4.206939988152857,176.87109375,6.920607253597143,16
26,10,347.6253141895,3.371399652476518,45.594297803747736,7.305521226506885,162.9375,13.29213297868527,16
27,10,735.0534048383,1.7219062917672368,39.019002375296914,13.257228458291866,165.7109375,25.998049184513196,16
28,10,1563.3643190471998,6.752767079819021,34.51027852615665,25.804291236544476,173.75,51.50675403332377,16
