t_grover,std_grover,RAM media (KB),RAM pico (KB),Qubits,Iteraciones óptimas,cores
1019.934706664,1.45948,21794.044,24712,15,1,1
715.932498591,0.355848,21690.7,23580,15,1,2
562.78370316,0.141685,21190.933,22588,15,1,4
471.45512158,0.031321,21008.371,22240,15,1,8
495.8563384,0.140571,20964.635,22100,15,1,12
415.671806756,0.1170829999999999,21119.386,22304,15,1,16
